workerid,button_rt,group_size,thickness,round,correct,correct_tangram,gameId,selected,text,trial_index,rt_sec,condition,trial_order
914,1736,2_player,thin,round_1,0,L,GGz5Zb58tHpG8X5z7,K,"[{'role': 'speaker', 'text': 'kneeling', 'playerId': 'HfeucCnhyMQZNxJYH'}]",79,1.736,2_thin,39
914,3950,6_player,thick,round_1,1,F,C6NxFhmDQvNgE2P68,F,"[{'role': 'speaker', 'text': 'Sitting down, facing left, knees are pulled up halfway', 'playerId': 'CsbCqNrAHc5ueS2rd'}]",81,3.95,6_thick,40
914,11718,6_player,thick,round_1,1,G,QkKavPsKXNH5uJzrs,G,"[{'role': 'speaker', 'text': 'this one almost looks like a person dancing', 'playerId': 'ySkkTvw6MWq2jN8sB'}, {'role': 'speaker', 'text': 'with a large object being pulled behind them', 'playerId': 'ySkkTvw6MWq2jN8sB'}, {'role': 'speaker', 'text': 'overall the design kind of makes a letter ""J""', 'playerId': 'ySkkTvw6MWq2jN8sB'}, {'role': 'speaker', 'text': 'it does NOT look like a person sitting', 'playerId': 'ySkkTvw6MWq2jN8sB'}]",83,11.718,6_thick,41
914,2487,2_player,thin,round_6,1,I,c3627RTtA7SfM2g6N,I,"[{'role': 'speaker', 'text': 'karate kick behind', 'playerId': 'AYaqScZTLQv5T9cvK'}]",85,2.487,2_thin,42
914,39826,6_player,thin,round_1,0,G,2gkxKTcPdQews5qTX,E,"[{'role': 'speaker', 'text': 'think of a shoe the heel is a triangle but is not touching the ground there is a square ate the top left', 'playerId': 'yN5pFmHQdR2zzStyt'}]",87,39.826,6_thin,43
914,7199,2_player,thick,round_6,0,K,rshQ6tYBS22PNQeTe,E,"[{'role': 'speaker', 'text': 'two diamonds', 'playerId': 'MgJ37EC6d5m8bs8h7'}]",89,7.199,2_thick,44
914,6491,2_player,thin,round_6,0,E,oJFB5dkDNtRxZNzec,A,"[{'role': 'speaker', 'text': 'hat', 'playerId': '4AsFJzDE4jwjApMjQ'}]",91,6.491,2_thin,45
914,6823,2_player,thick,round_1,0,C,NdrBpKKdJinL4P9pF,G,"[{'role': 'speaker', 'text': 'triangle between two rhombuses and on top of another', 'playerId': 'fzPLirZgYXeqXcey7'}, {'role': 'speaker', 'text': 'looks like a guy leaning to the left with his arms up', 'playerId': 'fzPLirZgYXeqXcey7'}]",93,6.823,2_thick,46
914,3010,6_player,thick,round_6,1,F,idfdowLZKpkzB8ypa,F,"[{'role': 'speaker', 'text': 'sitting on floor with knees bent upwards', 'playerId': 'hWLbCy7ApJfJBtYmh'}]",95,3.01,6_thick,47
914,3727,6_player,thick,round_6,1,A,FQmZmJts5MsgBFKCs,A,"[{'role': 'speaker', 'text': 'zombie', 'playerId': '4bzGCtgSy2NNk9Q5m'}]",97,3.727,6_thick,48
914,8996,6_player,thin,round_6,1,B,iWDET8rLPYMj9RE39,B,"[{'role': 'speaker', 'text': 'triangle bottom left', 'playerId': 'yS4bdq7buoNJWwCGR'}, {'role': 'speaker', 'text': '2 triangles under diamond head', 'playerId': 'yS4bdq7buoNJWwCGR'}]",99,8.996,6_thin,49
914,2576,2_player,thick,round_1,0,A,RAnND9hdveF9KAQce,I,"[{'role': 'speaker', 'text': 'their right foot is up and the other is on the floor', 'playerId': '34Br2mxZXWB7Z8veK'}]",101,2.576,2_thick,50
914,8656,2_player,thin,round_1,0,K,BP9jqaXgDcqoupu9X,L,"[{'role': 'speaker', 'text': 'looks like a woman sat on a seat, holding a triangle on the right side, facing the right side', 'playerId': 'MjgM5qp98eAX4zuZL'}]",103,8.656,2_thin,51
914,4715,6_player,thin,round_6,0,A,vb35TJcSHPpKxAzJo,I,"[{'role': 'speaker', 'text': 'About to throw a baseball one leg in front of the other to the right', 'playerId': 'FZwaqKfJFzuRG7WoT'}, {'role': 'speaker', 'text': 'Square head due to the angle', 'playerId': 'FZwaqKfJFzuRG7WoT'}]",105,4.715,6_thin,52
914,3925,2_player,thick,round_6,0,J,htub6itv8siAtQv22,G,"[{'role': 'speaker', 'text': 'straight flat edge left', 'playerId': 'HvkLtechHtpsjT9rJ'}]",107,3.925,2_thick,53
